代號,名稱,年/月,報表別F/M,升降,TCRI,系統分級,APLr,MGT易手,炒股,庫藏股,CFO不一致,總分,ADE減分,規模,獲利,安全,效率
1101,台泥,2020/06,M,-,3,2 2,A,+,,,,749,,140,77,85,-20
1102,亞泥,2020/06,M,-,3,1 1,A,,,,,769,,140,68,80,45
1103,嘉泥,2020/06,M,-,6,6 6, P +,,,,,341,,28,-11,75,91
1104,環泥,2020/06,M,-,5,4 4,,,,,,566,,66,33,90,65
1108,幸福,2020/06,M,-,7,5 5,,,,,,474,,45,58,83,-40
1109,信大,2020/06,M,-,5,3 2,AP,+,,,,721,,65,80,100,51
1110,東泥,2020/06,M,-,6,7 7,AP,,,,,323,,22,-2,100,-21
1201,味全,2020/06,M, ↑,6,4 4, P,+,,,,537,,106,25,58,78
1203,味王,2020/06,M,-,5,3 3,A,+,,,,625,,58,70,97,9
1210,大成,2020/06,M,-,4,2 2,,,,,,727,,140,50,72,81
1213,大飲,2020/06,M,-,9,8 8,AP,+,,,,207,,4,-7,70,7
1215,卜蜂,2020/06,M,-,4,3 3,,,,,,640,,109,55,59,79
1216,統一,2020/06,M,-,3,1 1,,+,,,,784,,140,61,77,90
1217,愛之味,2020/06,M,-,7,6 6, P,+,,,,388,,58,18,56,49
1218,泰山,2020/06,M,-,6,3 3,,+,,,+,593,,64,43,89,70
1219,福壽,2020/06,M,-,6,5 5, P,+,,,,458,,72,2,79,76
1220,台榮,2020/06,M,-,6,5 5,,+,,,,488,,21,30,100,58
1225,福懋油,2020/06,M,-,7,4 4,,+,,,,528,,64,33,74,78
1227,佳格,2020/06,M,-,3,1 1,A,+,,,,895,,138,88,100,57
1229,聯華,2020/06,M,-,5,4 4,,+,,,,547,,95,39,79,4
1231,聯華食,2020/06,M,-,5,4 4,,+,,,,548,,63,52,70,56
1232,大統益,2020/06,M,-,4,2 1,A,+,,,,809,,77,92,98,84
1233,天仁,2020/06,M,↓,5,6 6,AP,+,,,,352,,14,2,88,48
1234,黑松,2020/06,M,-,4,5 5,A,,,,,440,,90,12,89,-40
1235,興泰,2020/06,M,-,8,9 9,AP,+,,,,118,,,-8,59,-40
1236,宏亞,2020/06,M,-,6,6 6,AP,+,,,,336,,13,-9,84,71
1240,茂生農經,2020/06,M,-,6,4 4,,+,,,,532,,12,50,95,72
1256,鮮活果汁-KY,2020/06,M,-,5,4 2,A,+,,,,724,,23,105,96,77
1258,其祥-KY,2020/06,M,-,8,9 9, P,,,,,-110,,19,-9,-54,93
1259,安心,2020/06,M,-,5,5 5,,+,,,,480,,39,15,100,48
1260,富味鄉,2020/06,M,-,7,7 7, P,+,,,,300,,27,2,72,21
1264,德麥,2020/06,M,-,5,3 2,,,,,,694,,29,95,100,52
1268,漢來美食,2020/06,M,-,5,5 5, P,,,,,467,,28,21,99,43
1269,乾杯,2020/06,M,-,6,6 6, P,+,,,,361,,16,-4,93,37
1301,台塑,2020/06,M,-,3,3 3, P,+,,,,660,,140,10,93,90
1303,南亞,2020/06,M,-,3,3 3,AP,+,,,,669,,140,16,92,65
1304,台聚,2020/06,M,-,4,1 1,,+,,,,768,,140,36,98,85
1305,華夏,2020/06,M,-,5,3 3,,,,,,654,,83,34,100,87
1307,三芳,2020/06,M,-,4,4 4, P,+,,,,510,,78,4,93,68
1308,亞聚,2020/06,M,-,4,3 3,,+,,,,649,,68,50,92,89
1309,台達化,2020/06,M,-,6,2 1,,+,,,,785,,78,80,100,91
1310,台苯,2020/06,M,-,7,5 5, P,+,,,,453,,64,-15,96,95
1312,國喬,2020/06,M,-,4,2 2,,+,,,,700,,117,27,100,86
1313,聯成,2020/06,M,-,5,4 4, P,,,,,571,,140,-2,77,87
1314,中石化,2020/06,M,-,5,5 5,AP,+,,,+,451,,133,-1,81,-36
1315,達新,2020/06,M,-,5,6 6,AP,+,,,,396,,34,-1,100,28
1316,上曜,2020/06,M,-,8,9 9, P,,,,,27,,18,-13,10,13
1319,東陽,2020/06,M,-,3,4 4, P,,,,,568,,124,7,78,64
1321,大洋,2020/06,M,-,6,4 4, P,,,,,506,,56,15,88,85
1323,永裕,2020/06,M,-,5,4 3,,,,,,618,,34,74,96,43
1324,地球,2020/06,M,-,6,6 6,,+,,,,384,,6,2,100,57
1325,恒大,2020/06,M,-,5,4 2,A,,,,,748,,17,120,100,54
1326,台化,2020/06,M,-,3,3 3, P,+,,,,633,,140,,97,81
1336,台翰,2020/06,M,-,6,6 6, P,,,,,409,,14,-5,98,81
1337,再生-KY,2020/06,M,-,7,6 6,AP +,,,,,349,,13,-15,100,51
1338,廣華-KY,2020/06,M,-,4,5 5,AP,,,,,455,,58,,97,52
1339,昭輝,2020/06,M,-,5,4 4,AP,+,,,,552,,26,54,96,50
1340,勝悅-KY,2020/06,M,-,7,6 6,AP,,,,,362,,9,-14,100,68
1341,富林-KY,2020/06,M,-,6,4 4,A,,,,,522,,17,78,70,45
1342,八貫,2020/06,F,-,6,4 4,,,,,,550,,10,89,91,-7
1402,遠東新,2020/06,M,-,3,4 4, P,,,,,565,,140,12,58,75
1408,中紡,2020/06,M,-,D,D D,AP,+,,,,-888,,57,-60,-888,37
1409,新纖,2020/06,M,-,5,5 4,AP,,,,+,551,,140,20,65,15
1410,南染,2020/06,M,-,5,6 4,,,,,,550,,5,55,100,76
1413,宏洲,2020/06,F,↓,8,9 9,AP,+,,,,150,,15,-24,45,60
1414,東和,2020/06,F,-,6,8 8,AP,+,,,,226,,8,-3,84,-40
1416,廣豐,2020/06,M,-,7,9 9, P,+,,,,-27,,2,-7,10,-40
1417,嘉裕,2020/06,M,-,7,7 7,AP,+,,,,314,,14,-13,100,7
1418,東華,2020/06,M,-,D,9 9,APL+,,,,,-571,,1,-53,-80,-40
1419,新紡,2020/06,M,-,7,6 6, P,,,,,371,,32,12,74,47
1423,利華,2020/06,F,-,6,8 8,AP,+,,,,244,,4,-15,100,-40
1432,大魯閣,2020/06,M,-,8,8 8,AP,+,,,,223,,15,-6,79,-40
