rating_date,local_currency,foreign_currency,產業類別,證券代號,公司名稱,快速連結,每股淨值,指標1,指標2_1_1,指標2_2_1,指標2_3_1,指標3_1,指標3_2,指標4_1_1,指標4_2_1,指標4_3_1,指標5,指標6,指標7,指標8,指標9,指標2_1_2,指標2_2_2,指標2_3_2,指標4_1_2,指標4_2_2,指標4_3_2,en_name
2012/12/18,BBB+,BBB+,金融保險業,5876,上海商銀,"

財報電子書

重大訊息
","109Q2     33.52
",普通交易,106,107,108,,,107,108,109Q2,"      0.00
",,,無,無,"             12,385,227
","             13,711,971
","             14,661,111
","            -29,338,058
","             31,454,914
","             -8,766,944
","THE SHANGHAI COMMERCIAL & SAVINGS BANK, LTD."
2013/6/10,A,,金融保險業,2851,中再保,"

財報電子書

重大訊息
","109Q2     20.60
",普通交易,106,107,108,,,107,108,109Q2,"      0.00
",,,無,無,"              1,389,459
","              1,050,071
","              1,104,125
","              1,558,449
","             -4,600,992
","              3,021,411
",Central Reinsurance Corporation
2013/7/3,A-,,金融保險業,2832,台產,"

財報電子書

重大訊息
","109Q2     25.04
",普通交易,106,107,108,,,107,108,109Q2,"     15.48
",,,無,無,"                851,701
","                560,299
","                703,129
","                306,055
","                584,784
","                368,825
","Taiwan Fire & Marine Insurance Co., Ltd."
2014/8/4,BBB-,BBB-,金融保險業,2883,開發金,"

財報電子書

重大訊息
","109Q2     12.14
",普通交易,106,107,108,,,107,108,109Q2,"     56.37
",,,無,無,"             11,695,285
","              7,852,688
","             12,795,690
","            118,619,654
","            122,453,678
","             88,615,214
",CHINA DEVELOPMENT FINANCIAL HOLDING CORP.
2014/12/11,AA,AA,通信網路業,2412,中華電,"

財報電子書

重大訊息
","109Q2     46.37
",普通交易,106,107,108,26.92,0.75,107,108,109Q2,"      0.00
",0,0,無,無,"             38,873,905
","             35,501,622
","             32,788,546
","             66,366,350
","             72,426,685
","             26,470,953
","Chunghwa Telecom Co., Ltd"
2015/9/11,A-,,金融保險業,2816,旺旺保,"

財報電子書

重大訊息
","109Q2     25.95
",普通交易,106,107,108,,,107,108,109Q2,"      0.00
",,,無,無,"                663,458
","                605,620
","                703,782
","                -75,201
","                194,203
","                266,379
","Union Insurance Co., Ltd."
2017/1/25,BBB+,BBB+,金融保險業,2834,臺企銀,"

財報電子書

重大訊息
","109Q2     13.52
",普通交易,106,107,108,,,107,108,109Q2,"      0.00
",,,無,無,"              5,039,924
","              7,640,542
","              6,734,253
","             51,561,104
","              5,663,236
","            -42,792,880
","TAIWAN BUSINESS BANK,LTD."
2017/4/17,BBB,BBB,金融保險業,2892,第一金,"

財報電子書

重大訊息
","109Q2     17.03
",普通交易,106,107,108,,,107,108,109Q2,"      0.00
",,,無,無,"             15,483,032
","             17,332,199
","             19,368,751
","             15,424,411
","             73,923,951
","            -92,098,849
",First  Financial  Holding  Co.  Ltd.
2017/4/17,BBB,BBB,金融保險業,2891,中信金,"

財報電子書

重大訊息
","109Q2     18.08
",普通交易,106,107,108,,,107,108,109Q2,"     29.46
",,,無,無,"             37,222,217
","             36,032,425
","             42,879,806
","             25,466,610
","            -50,729,145
","            -34,721,449
","CTBC FINANCIAL HOLDING CO., LTD."
2017/5/9,BBB,BBB,金融保險業,2884,玉山金,"

財報電子書

重大訊息
","109Q2     14.91
",普通交易,106,107,108,,,107,108,109Q2,"      0.00
",,,無,無,"             14,756,556
","             17,068,493
","             20,105,129
","              9,522,169
","              8,163,569
","              9,877,327
","E.SUN FINANCIAL HOLDING COMPANY,LTD."
2018/1/19,BBB,BBB,金融保險業,5880,合庫金,"

財報電子書

重大訊息
","109Q2     17.11
",普通交易,106,107,108,,,107,108,109Q2,"      0.00
",,,無,無,"             14,317,798
","             15,618,243
","             17,235,959
","            -13,670,331
","              9,886,555
","              2,122,570
","Taiwan Cooperative Financial Holding Co.,Ltd."
2018/8/13,BBB,BBB,金融保險業,2890,永豐金,"

財報電子書

重大訊息
","109Q2     12.98
",普通交易,106,107,108,,,107,108,109Q2,"      0.00
",,,無,無,"              9,085,309
","              9,428,419
","             12,477,021
","             16,770,765
","             67,921,886
","            -33,546,577
",SINOPAC  FINANCIAL HOLDINGS COMPANY LIMITED
2018/9/26,AA-,AA-,半導體業,2330,台積電,"

財報電子書

重大訊息
","109Q2     66.35
",普通交易,106,107,108,29.71,1.4,107,108,109Q2,"      0.01
",0,5.19,無,無,"            343,111,476
","            351,130,884
","            345,263,668
","            573,954,308
","            615,138,744
","            373,364,401
","Taiwan Semiconductor Manufacturing Co., Ltd."
2018/10/26,A-,A-,其他電子業,2317,鴻海,"

財報電子書

重大訊息
","109Q2     84.38
",普通交易,106,107,108,57.01,1.58,107,108,109Q2,"     64.10
",0,17.08,無,無,"            138,734,401
","            129,065,105
","            115,308,736
","            -40,156,222
","            248,017,738
","             95,297,059
","HON HAI PRECISION IND. CO., LTD."
2018/11/20,A-,,金融保險業,2852,第一保,"

財報電子書

重大訊息
","109Q2     21.54
",普通交易,106,107,108,,,107,108,109Q2,"      0.00
",,,無,無,"                460,310
","                491,309
","                580,968
","                665,089
","                394,147
","                  7,113
","THE FIRST INSURANCE CO., LTD."
2018/11/23,A,,金融保險業,2850,新產,"

財報電子書

重大訊息
","109Q2     37.26
",普通交易,106,107,108,,,107,108,109Q2,"     14.00
",,,無,無,"              1,364,910
","              1,770,368
","              1,562,053
","              3,475,888
","                925,263
","                843,789
","SHINKONG INSURANCE CO., LTD."
2019/3/7,BBB-,BBB-,金融保險業,2838,聯邦銀,"

財報電子書

重大訊息
","109Q2     18.33
",普通交易,106,107,108,,,107,108,109Q2,"      2.61
",,,無,無,"              2,744,987
","              2,956,724
","              3,359,457
","             55,026,781
","            -21,902,109
","             12,370,826
",UNION BANK OF TAIWAN
2019/10/17,BBB,BBB,金融保險業,2887,台新金,"

財報電子書

重大訊息
","109Q2     15.54
",普通交易,106,107,108,,,107,108,109Q2,"      0.00
",,,無,無,"             13,060,662
","             12,930,583
","             14,488,021
","            -16,409,202
","             40,275,013
","            -23,168,748
","Taishin Financial Holding Co., Ltd."
2019/10/29,A-,A-,金融保險業,2801,彰銀,"

財報電子書

重大訊息
","109Q2     16.23
",普通交易,106,107,108,,,107,108,109Q2,"      0.00
",,,無,無,"             12,093,106
","             12,646,535
","             11,571,782
","             -3,456,086
","            -47,077,563
","            -53,349,900
","CHANG HWA COMMERCIAL BANK, LTD."
2020/1/21,BBB-,BBB-,通信網路業,4904,遠傳,"

財報電子書

重大訊息
","109Q2     19.47
",普通交易,106,107,108,64.07,1.04,107,108,109Q2,"      0.82
",0,0,無,無,"             10,856,682
","              9,381,351
","              8,734,984
","             23,063,487
","             21,473,776
","             13,584,633
","Far EasTone Telecommunications Co., Ltd."
2020/4/14,BB+,BB+,航運業,2615,萬海,"

財報電子書

重大訊息
","109Q2     16.10
",普通交易,106,107,108,60.4,1.13,107,108,109Q2,"     22.58
",20.29,59.29,無,無,"              2,541,889
","              1,117,906
","              3,573,703
","              5,004,728
","              8,021,026
","              3,939,265
",WAN HAI LINES LTD.
2020/4/29,BBB+,BBB+,金融保險業,2881,富邦金,"

財報電子書

重大訊息
","109Q2     51.82
",普通交易,106,107,108,,,107,108,109Q2,"      0.00
",,,無,無,"             54,122,463
","             47,728,856
","             58,497,257
","             -3,166,904
","            134,484,617
","            -98,159,180
","Fubon Financial Holding Co., Ltd."
2020/4/29,BBB+,BBB+,金融保險業,2882,國泰金,"

財報電子書

重大訊息
","109Q2     52.77
",普通交易,106,107,108,,,107,108,109Q2,"     21.49
",,,無,無,"             56,306,735
","             51,467,243
","             62,757,286
","            -86,525,669
","            170,845,981
","            104,294,726
","CATHAY FINANCIAL HOLDING CO., LTD."
2020/8/10,BBB,BBB,其他,6592,和潤企業,"

財報電子書

重大訊息
","109Q2     38.90
",普通交易,106,107,108,84.64,1.12,107,108,109Q2,"      0.00
",0,18.84,無,無,"              1,474,898
","              1,761,515
","              2,235,585
","            -10,097,253
","             -7,379,605
","             -4,612,266
","HOTAI FINANCE CO., LTD."
2020/10/16,BBB+,BBB+,塑膠工業,1303,南亞,"

財報電子書

重大訊息
","109Q2     38.99
",普通交易,106,107,108,41.66,1.79,107,108,109Q2,"      0.05
",10.28,9.75,無,無,"             54,521,016
","             52,746,021
","             23,076,123
","             54,564,940
","             52,299,353
","             13,344,421
",NAN YA PLASTICS CORPORATION
2020/10/16,BBB+,BBB+,塑膠工業,1326,台化,"

財報電子書

重大訊息
","109Q2     50.64
",普通交易,106,107,108,32.7,1.88,107,108,109Q2,"      0.00
",12.67,10.18,無,無,"             54,410,802
","             48,769,317
","             29,702,242
","             60,591,316
","             59,012,528
","             13,126,084
",FORMOSA CHEMICALS & FIBRE CORPORATION
2020/10/16,BBB+,BBB+,塑膠工業,1301,台塑,"

財報電子書

重大訊息
","109Q2     45.60
",普通交易,106,107,108,37.96,1.52,107,108,109Q2,"      0.81
",12.19,10.38,無,無,"             49,382,853
","             49,549,540
","             37,324,162
","             50,507,277
","             46,580,428
","              5,988,603
",Formosa Plastics Corporation
2009/10/01 ,A,A,金融保險業,2886,兆豐金,"

財報電子書

重大訊息
","109Q2     23.05
",普通交易,106,107,108,,,107,108,109Q2,"      0.00
",,,無,無,"             25,734,515
","             28,109,164
","             28,956,244
","            -38,619,574
","             63,736,320
","            -28,436,564
",Mega Financial Holding Company Ltd.
,,,水泥工業,1101,台泥,"

財報電子書

重大訊息
","109Q2     32.38
",普通交易,106,107,108,48.9,1.46,107,108,109Q2,"      8.45
",0,6.6,無,無,"              7,594,247
","             21,180,821
","             24,211,081
","             22,150,720
","             28,871,269
","             18,434,241
",Taiwan Cement Corp.
,,,水泥工業,1102,亞泥,"

財報電子書

重大訊息
","109Q2     40.72
",普通交易,106,107,108,46.16,1.23,107,108,109Q2,"      4.58
",0,21.13,無,無,"              5,469,007
","             11,117,094
","             17,459,673
","              9,264,060
","             37,271,901
","              7,619,882
",Asia Cement Corporation
,,,水泥工業,1103,嘉泥,"

財報電子書

重大訊息
","109Q2     33.26
",普通交易,106,107,108,41.41,2.7,107,108,109Q2,"      0.00
",0.35,17.13,無,無,"                895,198
","                699,755
","              1,297,473
","               -506,413
","               -161,520
","                318,812
",CHIA HSIN CEMENT CORPORATION
,,,水泥工業,1104,環泥,"

財報電子書

重大訊息
","109Q2     26.57
",普通交易,106,107,108,24.8,1.05,107,108,109Q2,"      0.00
",0.86,2.42,無,無,"              1,411,666
","              1,057,293
","              1,135,477
","                602,424
","                749,877
","                220,209
",UNIVERSAL CEMENT CORPORATION
,,,水泥工業,1108,幸福,"

財報電子書

重大訊息
","109Q2     11.08
",普通交易,106,107,108,40.71,2.88,107,108,109Q2,"     74.32
",5.8,15.7,無,無,"               -101,111
","               -176,971
","                 45,905
","                 51,832
","                262,747
","                357,684
",LUCKY CEMENT CO.
,,,水泥工業,1109,信大,"

財報電子書

重大訊息
","109Q2     19.53
",普通交易,106,107,108,21.17,2.67,107,108,109Q2,"     13.42
",0,4.81,無,無,"                491,910
","                840,240
","                963,670
","                996,902
","              2,138,329
","                939,003
","Hsing Ta Cement Co.,Ltd"
,,,水泥工業,1110,東泥,"

財報電子書

重大訊息
","109Q2     14.63
",普通交易,106,107,108,12.5,3.22,107,108,109Q2,"     20.84
",2.4,0,無,無,"                 61,404
","                 65,680
","                 33,133
","                 15,927
","                177,772
","                 87,814
","SOUTHEAST CEMENT CO.,LTD."
,,,食品工業,1201,味全,"

財報電子書

重大訊息
","109Q2     12.41
",普通交易,106,107,108,66.09,0.83,107,108,109Q2,"      0.00
",0,17.31,無,無,"                664,257
","                982,564
","              1,349,985
","                555,117
","              1,428,433
","                 93,303
",WEI CHUAN FOODS CORP.
,,,食品工業,1203,味王,"

財報電子書

重大訊息
","109Q2     20.95
",普通交易,106,107,108,35.56,2.26,107,108,109Q2,"      4.06
",2.8,8.55,無,無,"                442,580
","                431,907
","                456,880
","                721,679
","                445,126
","                249,933
",VE WONG CORPORATION
,,,食品工業,1210,大成,"

財報電子書

重大訊息
","109Q2     22.49
",普通交易,106,107,108,50.34,1.04,107,108,109Q2,"      4.24
",10.97,0,無,無,"              2,238,817
","              2,009,883
","              2,283,601
","              1,906,518
","              5,521,975
","              2,578,948
","GREAT WALL ENTERPRISE CO., LTD."
,,,食品工業,1213,大飲,"

財報電子書

重大訊息
","109Q2      9.88
",變更交易,106,107,108,56.42,2.22,107,108,109Q2,"      0.00
",29.48,0,無,"有詳細資料
","                  1,985
","                -89,579
","                -43,093
","                -29,936
","                -67,444
","                 -6,672
","OCEANIC BEVERAGES CO.,INC."
,,,食品工業,1215,卜蜂,"

財報電子書

重大訊息
","109Q2     28.98
",普通交易,106,107,108,55.88,0.8,107,108,109Q2,"      0.00
",0,0,無,無,"              1,433,070
","                950,727
","              1,463,926
","                995,382
","              1,960,317
","                837,829
",CHAROEN POKPHAND ENTERPRISE
,,,食品工業,1216,統一,"

財報電子書

重大訊息
","109Q2     18.12
",普通交易,106,107,108,66.21,0.94,107,108,109Q2,"     14.19
",0,26.28,無,無,"             39,844,853
","             17,442,022
","             19,007,255
","             43,096,879
","             58,871,291
","             27,033,700
",UNI-PRESIDENT ENTERPRISES CORP.
,,,食品工業,1217,愛之味,"

財報電子書

重大訊息
","109Q2     11.56
",普通交易,106,107,108,49.63,0.62,107,108,109Q2,"     14.61
",0,13.85,無,無,"                133,106
","                 47,898
","                 48,069
","                430,382
","                213,163
","                103,823
",AGV PRODUCTS CORP.
,,,食品工業,1218,泰山,"

財報電子書

重大訊息
","109Q2     13.41
",普通交易,106,107,108,28.45,1.42,107,108,109Q2,"     89.86
",1.34,2.46,無,無,"                316,971
","                464,443
","                582,073
","                420,026
","                361,193
","               -143,175
","TAISUN ENTERPRISE CO.,LTD."
,,,食品工業,1219,福壽,"

財報電子書

重大訊息
","109Q2     12.86
",普通交易,106,107,108,51.92,1.85,107,108,109Q2,"     59.38
",0,10.4,無,無,"                140,727
","                -11,233
","                203,114
","                328,760
","               -111,569
","                326,461
","FWUSOW INDUSTRY CO.,LTD"
,,,食品工業,1220,台榮,"

財報電子書

重大訊息
","109Q2     12.78
",普通交易,106,107,108,19.08,4.66,107,108,109Q2,"      0.00
",0,0,無,無,"                 77,340
","                 93,389
","                125,748
","                117,254
","                188,357
","                380,116
","TAI  ROUN  PRODUCTS CO.,LTD."
,,,食品工業,1225,福懋油,"

財報電子書

重大訊息
","109Q2     13.93
",普通交易,106,107,108,53.61,1.42,107,108,109Q2,"     24.10
",0,92.57,無,無,"                246,873
","                255,632
","                339,004
","                763,601
","                411,734
","                108,037
","FORMOSA OILSEED PROCESSING CO,LTD"
,,,食品工業,1227,佳格,"

財報電子書

重大訊息
","109Q2     17.22
",普通交易,106,107,108,37.22,2.15,107,108,109Q2,"      0.00
",5.77,1.31,無,無,"              2,173,044
","              2,949,089
","              3,416,097
","              2,639,247
","              5,026,474
","                812,381
",STANDARD FOODS CORPORATION
,,,食品工業,1229,聯華,"

財報電子書

重大訊息
","109Q2     24.90
",普通交易,106,107,108,23.29,0.89,107,108,109Q2,"      1.40
",1.43,16.57,無,無,"              2,974,027
","              2,476,292
","              2,766,816
","              2,219,706
","              2,821,391
","                416,935
",Lien Hwa Industrial Holdings Corporation
,,,食品工業,1231,聯華食,"

財報電子書

重大訊息
","109Q2     20.56
",普通交易,106,107,108,57.99,1.43,107,108,109Q2,"     14.96
",0,0,無,無,"                406,095
","                541,703
","                523,633
","                539,258
","                250,589
","                342,393
",Lian Hwa Foods Corporation
,,,食品工業,1232,大統益,"

財報電子書

重大訊息
","109Q2     23.62
",普通交易,106,107,108,41.69,2.23,107,108,109Q2,"      0.00
",0,0,"有詳細資料(一)
詳細資料(二)
",無,"                817,239
","                906,880
","                974,572
","              1,390,399
","              1,122,600
","                232,328
",TTET  UNION  CORPORATION
,,,食品工業,1233,天仁,"

財報電子書

重大訊息
","109Q2     15.82
",普通交易,106,107,108,39.09,1.2,107,108,109Q2,"     24.64
",0,0,無,無,"                175,424
","                174,509
","                156,589
","                202,364
","                313,431
","                 82,490
","Ten Ren Tea Co., Ltd."
,,,食品工業,1234,黑松,"

財報電子書

重大訊息
","109Q2     43.45
",普通交易,106,107,108,23.58,2.61,107,108,109Q2,"      2.79
",0,0,無,無,"                543,356
","                696,309
","                846,511
","                461,274
","              1,222,270
","                339,510
",HEY-SONG CORPORATION
,,,食品工業,1235,興泰,"

財報電子書

重大訊息
","109Q2     32.03
",普通交易,106,107,108,33.95,2.31,107,108,109Q2,"     15.54
",0,0,無,"有詳細資料
","                306,864
","                105,973
","                 46,889
","                 41,587
","                 41,647
","                -26,390
","SHIN TAI INDUSTRY CO.,LTD."
,,,食品工業,1236,宏亞,"

財報電子書

重大訊息
","109Q2     15.04
",普通交易,106,107,108,36.31,1.38,107,108,109Q2,"      0.00
",0,0,無,無,"                  5,067
","                 13,267
","                 15,779
","                195,259
","                140,706
","                 64,738
",HUNYA  FOODS  CO; LTD.
,,,食品工業,1256,鮮活果汁-KY,"

財報電子書

重大訊息
","109Q2     58.67
",普通交易,106,107,108,37.93,1.41,107,108,109Q2,"      2.06
",0,0,,無,"                286,745
","                441,633
","                548,142
","                527,928
","                721,383
","                307,946
","Sunjuice Holdings Co., Limited"
,,,食品工業,1702,南僑,"

財報電子書

重大訊息
","109Q2     22.66
",普通交易,106,107,108,75.9,1.14,107,108,109Q2,"     20.86
",0,29.35,無,無,"                992,726
","              1,012,724
","                964,149
","              2,006,568
","              2,539,792
","                491,219
","Namchow Holdings Co., Ltd."
,,,食品工業,1737,臺鹽,"

財報電子書

重大訊息
","109Q2     30.08
",普通交易,106,107,108,20.79,3.36,107,108,109Q2,"      0.91
",0,0,無,無,"                353,694
","                452,741
","                345,503
","                449,834
","                330,807
","                151,603
","Taiyen Biotech Co.,Ltd"
,,,塑膠工業,1304,台聚,"

財報電子書

重大訊息
","109Q2     17.22
",普通交易,106,107,108,41.29,2.25,107,108,109Q2,"      0.00
",0,22.8,無,無,"              1,111,290
","                539,935
","              1,281,364
","              2,219,826
","              6,072,493
","              5,135,883
",USI CORPORATION
,,,塑膠工業,1305,華夏,"

財報電子書

重大訊息
","109Q2     15.67
",普通交易,106,107,108,30.07,2.6,107,108,109Q2,"      0.00
",0,26.03,無,無,"              1,269,808
","              1,276,156
","                642,677
","              1,827,636
","              2,016,552
","                151,544
",CHINA GENERAL PLASTICS CORPORATION
